qed,SAS,logP,src,rings,weight,csp3,hallkier,laputeASA,alicarbo,alihetero,alirings,amidebonds,arocarbo,arohetero,arorings,stereocenter,bridgehead,hba,hbd,rotatable
0.80235696,3.7784095,2.2861376,0,3,220.109944372,0.6153846153846154,-0.9300000000000002,95.11046943469017,1,2,3,0,0,0,0,2,0,3,0,1
0.8287995,3.6502411,3.24754,0,3,232.19394876799998,0.9333333333333333,-0.55,104.5634175472758,3,0,3,0,0,0,0,6,2,2,1,1
0.79107374,4.7012286,2.7460213,0,3,215.131014164,0.5,-1.31,96.04079069537909,3,0,3,0,0,0,0,3,0,2,1,0
0.77265483,3.3889544,1.6635915,0,3,312.952059596,0.3,-1.05,109.16050465261002,0,1,1,0,0,2,2,1,0,5,1,1
0.735674,3.5141788,1.2846382,0,3,177.090211972,0.5555555555555556,-1.3199999999999998,76.04706961614595,1,1,2,0,0,1,1,3,0,4,1,1
0.7896215,3.5014439,1.3011271,0,3,237.147726848,0.75,-1.2299999999999998,100.98345448540339,0,2,2,0,0,1,1,4,2,5,1,0
0.73831296,4.301286,2.4506369,0,4,266.01836956,0.45454545454545453,-0.8200000000000001,106.53083853010615,0,2,2,0,0,2,2,2,2,6,0,0
0.6221223,2.7067897,2.380077,0,3,248.019038256,0.1,-1.5300000000000002,100.04427813840915,0,1,1,0,0,2,2,0,0,6,1,0
0.8084096,4.7022467,3.1824303,0,5,213.151749608,0.7333333333333333,-0.56,97.19991246757077,3,2,5,0,0,0,0,5,0,1,0,0
0.73687506,3.6972451,2.0307512,0,4,235.041547528,0.5,-1.4299999999999997,95.26636053701645,1,1,2,0,0,2,2,2,0,6,0,0
0.79479146,3.5010347,1.1868706,0,3,240.183778008,1.0,-0.16,103.6378492528263,1,2,3,0,0,0,0,5,4,4,1,1
0.8259428,4.104494,2.208902,0,3,209.141578848,0.9166666666666666,-0.5700000000000001,90.32925080657223,2,1,3,0,0,0,0,6,2,3,2,0
0.78225565,4.8709354,1.8980268,0,2,212.094963004,0.38461538461538464,-2.0,94.76308784002396,2,0,2,0,0,0,0,3,0,3,1,0
0.7604095,4.2516994,2.1640754,0,3,251.072847656,0.5454545454545454,-1.4300000000000002,102.79708143651276,1,1,2,0,0,1,1,2,0,6,2,0
0.7321116,4.1953053,3.3021846,0,5,247.103085164,0.7857142857142857,-0.41,105.53708823355304,2,2,4,0,0,1,1,5,2,3,0,0
0.826396,4.221391,1.6929295,0,4,217.11027872,0.6923076923076923,-0.96,94.27853513798325,3,1,4,0,0,0,0,5,2,3,1,1
0.82725894,3.8542454,2.6549501,0,3,221.177964356,0.8571428571428571,-0.33999999999999997,98.33046944461289,2,1,3,0,0,0,0,6,2,2,1,0
0.7863754,4.758422,1.7217369,0,3,266.01836956,0.45454545454545453,-1.32,106.07220818653163,1,1,2,0,0,1,1,2,0,6,2,0
0.8004865,3.5211773,1.7057587,0,3,206.130679816,0.7692307692307693,-0.6300000000000001,90.36721576005668,3,0,3,0,0,0,0,4,0,2,1,1
0.8063539,4.6629,2.1308837,0,4,206.17829870399999,0.8461538461538461,-0.34,92.51118427503297,3,1,4,0,0,0,0,5,2,2,1,0
0.85230327,3.5547497,2.4333553,0,3,238.204513452,1.0,-0.12,104.67927465112074,1,2,3,0,0,0,0,5,2,3,1,0
0.7763451,4.618314,1.7014071,0,3,216.16264864,0.7142857142857143,-0.78,97.66538029469353,2,1,3,0,0,0,0,4,4,2,2,1
0.8127216,3.2115664,1.6346574,0,3,250.088832068,0.45454545454545453,-1.56,102.98653946066267,0,1,1,0,0,2,2,1,0,5,2,1
0.7523694,3.1044025,1.0537639,0,2,226.062138652,0.5555555555555556,-1.23,91.78115803137725,1,0,1,0,0,1,1,2,0,5,0,2
0.7674515,3.0116172,1.2521322,0,4,291.00072403999997,0.3333333333333333,-1.3599999999999999,106.62767890405027,0,3,3,0,1,0,1,0,0,3,2,0
0.786469,4.805231,1.7708104,0,3,228.126263132,0.5,-1.5299999999999998,101.27948130303066,2,1,3,0,0,0,0,3,2,3,2,0
0.82671314,3.4551737,1.3451047,0,5,234.136827816,0.6923076923076923,-0.8400000000000001,100.89447323871018,0,4,4,0,0,1,1,3,2,4,1,1
0.800208,4.7666564,2.6699214,0,4,212.120115132,0.6,-1.0,96.2393690949519,4,0,4,0,0,0,0,7,0,1,1,0
0.7549086,2.67315,0.3140136,0,2,239.079372516,0.45454545454545453,-1.98,97.55518139621931,0,1,1,0,0,1,1,0,2,5,2,1
0.78121513,3.3685768,3.1490002,0,5,307.96189600800005,0.3333333333333333,-0.78,111.13844553248713,1,2,3,0,0,2,2,2,2,4,0,0
0.79711676,4.8197956,2.0348363,0,3,215.131014164,0.6428571428571429,-1.23,96.41922215160687,3,0,3,0,0,0,0,5,0,2,1,0
0.8392051,3.962888,2.1237235,0,3,219.162314292,0.8571428571428571,-0.52,97.80932638206107,2,1,3,0,0,0,0,5,2,2,2,2
0.8289141,4.0450535,2.6235862,0,3,247.066699656,0.46153846153846156,-1.47,103.93693848524642,1,1,2,0,0,1,1,4,2,4,2,1
0.8343316,3.954631,2.6434197,0,2,224.177630008,0.8571428571428571,-0.33999999999999997,98.37070068013477,2,0,2,0,0,0,0,6,2,2,2,1
0.8155708,4.1518426,2.8368783,0,3,255.129299912,0.8461538461538461,-0.35000000000000003,103.72209798384,2,1,3,0,0,0,0,6,4,2,1,0
0.8029031,4.7225585,2.5218425,0,4,185.12044948,0.6923076923076923,-0.9199999999999999,85.64937590732774,2,2,4,0,0,0,0,5,2,1,1,0
0.7704428,4.4431057,1.5757319,0,4,189.1153641,0.75,-0.79,84.04955435525805,3,1,4,0,0,0,0,5,2,2,0,0
0.63728386,3.0587656,2.5066156,0,4,231.083018416,0.4166666666666667,-1.29,97.93649244428678,1,1,2,0,0,2,2,2,0,4,1,0
0.814265,4.4690576,2.474567,0,4,208.14632988,0.8461538461538461,-0.34,91.31923888951978,2,2,4,0,0,0,0,6,2,2,1,0
0.80757177,3.5393107,1.9758301,0,3,252.093248752,0.6666666666666666,-0.9400000000000002,103.38016635431234,0,2,2,0,0,1,1,3,2,5,1,0
0.7803978,4.3773246,2.0323277,0,5,229.15789760799998,0.7142857142857143,-0.96,101.57635592417185,1,3,4,0,0,1,1,6,0,3,1,0
0.80119276,4.2147317,1.5127554,0,3,244.076929992,0.8181818181818182,-0.39,95.53406451982403,1,2,3,0,0,0,0,4,2,4,0,1
0.86217844,3.5778072,2.5008674,0,3,239.18852904,1.0,-0.12,103.71367473311336,2,1,3,0,0,0,0,7,2,3,2,0
0.80709076,4.466222,1.676223,0,3,230.141913196,0.6428571428571429,-1.27,101.96908433521492,2,1,3,0,0,0,0,4,0,3,2,0
0.81850255,3.453992,1.7625933,0,2,239.152143532,0.8461538461538461,-0.9000000000000001,102.07151766113715,1,1,2,0,0,0,0,3,0,4,1,2
0.84686,3.6736336,2.5646992,0,6,202.135765196,0.7857142857142857,-0.77,91.6267525463008,6,0,6,0,0,0,0,3,4,1,0,0
0.7492526,2.5906293,2.808992,0,4,229.056134972,0.3076923076923077,-1.3499999999999999,97.16810831408606,1,1,2,0,0,2,2,1,0,3,0,0
0.7915524,3.24526,1.4790517,0,3,252.056863244,0.6363636363636364,-1.1600000000000001,102.93250434895872,0,2,2,0,0,1,1,2,4,6,0,0
0.75966424,3.9689481,0.93107694,0,2,220.084792244,0.5454545454545454,-1.83,92.9986485811064,1,1,2,0,0,0,0,2,0,5,1,1
0.81570125,4.13413,2.3931503,0,3,217.146664228,0.7142857142857143,-0.78,97.43903482718771,1,2,3,0,0,0,0,4,0,2,1,0
0.81014496,4.502774,2.3322244,0,3,213.151749608,0.7333333333333333,-0.9199999999999999,98.37926013612093,2,1,3,0,0,0,0,5,2,1,1,1
0.82512105,4.110416,2.643825,0,4,252.12963426,0.7692307692307693,-0.6100000000000001,106.62433061910735,1,2,3,0,0,1,1,3,2,4,1,0
0.8008871,3.441416,2.2281466,0,3,292.97998859599994,0.18181818181818182,-1.6900000000000004,105.72757347494185,0,2,2,0,1,0,1,0,0,5,1,3
0.814437,2.7290096,2.0324275,0,2,293.005140724,0.38461538461538464,-1.34,107.9645455462706,0,1,1,0,0,1,1,1,0,3,0,1
0.7950158,3.69562,1.4046439,0,4,177.1153641,0.7272727272727273,-0.63,78.60293144927083,1,3,4,0,0,0,0,3,2,2,0,0
0.8115894,3.6403818,1.072773,0,3,233.152812228,0.7692307692307693,-1.1900000000000002,101.39312070877789,2,1,3,0,0,0,0,4,4,3,2,0
0.83275616,3.969966,2.5752535,0,4,221.177964356,0.8571428571428571,-0.34,98.22983794873312,2,2,4,0,0,0,0,2,4,2,1,0
0.61898893,3.2898622,0.82939297,0,3,313.9221564360001,0.0,-1.8100000000000003,104.91517597857809,0,0,0,0,0,3,3,0,0,9,1,1
0.79926884,2.38576,1.7560289,0,2,294.94801977199995,0.18181818181818182,-1.87,105.06054448416216,0,1,1,0,1,0,1,0,0,5,0,0
0.80904174,3.5990353,2.630525,0,3,208.14632988,0.9230769230769231,-0.37,91.05681879224095,3,0,3,0,0,0,0,4,2,2,1,2
0.7821672,4.683864,3.2377367,0,3,215.167399672,0.7333333333333333,-0.74,98.69043171207741,2,1,3,0,0,0,0,5,0,1,1,0
0.8200385,3.6648211,2.3114262,0,3,215.094628656,0.38461538461538464,-1.64,93.8250785286134,2,0,2,0,0,1,1,3,0,3,1,1
